数字电路设计流程	专业或业务能力
RTL代码书写	专业或业务能力
电路优化的经验	动手能力
VCS/D	专业或业务能力
数字前端设计经验	动手能力
大规模SoC芯片设计成功量产经历	动手能力
相关工作经验	动手能力
TCP/IP协议	专业或业务能力
SDN相关技术	专业或业务能力
linux虚拟化环境下网络异常	专业或业务能力
主流的网络设备	专业或业务能力
路由协议（ospf，bgp	专业或业务能力
中等规模网络规划、运维经验	动手能力
主流4、7层负载均衡技术	专业或业务能力
troubleshooting经验	动手能力
linux，windows操作系统	专业或业务能力
系统性能相关问题有	专业或业务能力
shell、python、perl中	计算机与互联网应用能力
应用awk、sed、grep、strace、tcpdump、gdb等常用命令	计算机与互联网应用能力
腾讯云技术认证	专业或业务能力
腾讯云从业资格证	专业或业务能力
使用Linux/unix操作系统	计算机与互联网应用能力
Shell编程	专业或业务能力
掌握Perl、PHP、Python之一的编程	专业或业务能力
TCP/IP、HTTP等协议	专业或业务能力
相关技术的使用	计算机与互联网应用能力
系统均衡容灾设计	专业或业务能力
大型集群维护经验	动手能力
责任感强	工程职业道德
良好的服务意识	工程职业道德
团队合作意识	团队协作能力
较强的问题分析	分析能力
沟通能力强	人际交往能力
项目推动/运维流程工具建设经验	动手能力
腾讯云从业资格证	专业或业务能力
腾讯云IAAS智能化运维平台的前端	专业或业务能力
web前端页面的开发，维护和优化	专业或业务能力
前端框架的搭建	专业或业务能力
公共组件的开发和维护	专业或业务能力
解决方案构建	专业或业务能力
实施交付相关经验	动手能力
攻防对抗相关知识	专业或业务能力
互联网架构安全建设	专业或业务能力
国家级重大安全演练攻防经验	动手能力
前瞻性的网络安全产品技术视角	信息收集能力
项目协调	组织与协调能力
完成大量需要横向推动的项目工作	组织与协调能力
掌握C/C++、JAVA	专业或业务能力
良好的代码架构能力	专业或业务能力
英语读写能力	外语能力
掌握Android或Windows操作系统	专业或业务能力
显示系统和窗口管理	专业或业务能力
理解共享内存和显存的知识	专业或业务能力
图形渲染开发经验	动手能力
良好的团队合作	团队协作能力
沟通能力	人际交往能力
较强的学习能力	自学能力
解决问题能力	问题解决能力
Hive,Hadoop,HDFS,Mapreduce,Yarn	专业或业务能力
使用spark,flink等大数据开发技术	计算机与互联网应用能力
良好的数仓建设能力	专业或业务能力
数仓	专业或业务能力
Linux操作系统	专业或业务能力
数据库的基本原理	专业或业务能力
常见的消息队列，缓存相关技术	专业或业务能力
良好的沟通能力	人际交往能力
协作精神	团队协作能力
承担工作压力	情绪管理能力
C/C++编程	专业或业务能力
常用的算法和数据结构	专业或业务能力
网络编程，多线程编程技术	专业或业务能力
丰富的后台研发项目经验	动手能力
存储设备、文件系统、Linux操作系统原理	专业或业务能力
学习能力强	自学能力
良好的沟通能力	人际交往能力
团队合作能力	团队协作能力
解决问题的能力	问题解决能力
分布式系统理论	专业或业务能力
大规模分布式系统设计架构经验	动手能力
NoSQL存储引擎开发经验	动手能力
大规模分布式系统经验	动手能力
快速学习	自学能力
活跃贡献者	动手能力
UE4引擎开发经验	动手能力
UE4渲染系统	专业或业务能力
精通C++以及蓝图	专业或业务能力
技术攻关能力	实干与执行能力
主动学习的能力	自学能力
独立解决问题能力	问题解决能力
承受一定的工作压力	情绪管理能力
逻辑思维能力良好	分析能力
很好的跟团队协作	团队协作能力
掌握UE4引擎底层代码编写	专业或业务能力
常用数据结构	专业或业务能力
逻辑思维能力	分析能力
3D引擎开发经验	动手能力
渲染管线有过优化经验	动手能力
悉GPU驱动开发经验	动手能力
一种或者多种软件开发语言	专业或业务能力
系统软件或者平台软件开发经验	动手能力
操作系统架构设计和核心组件	专业或业务能力
主导系统软件设计和核心组件开发	专业或业务能力
悉Linux系统	专业或业务能力
操作系统软件开发经验	动手能力
